Message,Extracted,Expected
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 720589 Entry Fees - Win -,63693822,nan
LAST 2 DAYS to get Rs500 OFF@TRENDS on shopping of Rs1250 til 28Nov.Use code TRNDDG24XR3011 at stores open with highest safety standards.Ignore if redeemed. T&C,243011,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,63693822,nan
One Time verification code 358236.AkHA4lzFwHZ - Future Group,3582364,358236
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 552214. Call 020-39574200 requested you.,nan,552214
CITYKART Shopping Alert Apka Rs500 Ka FREE Coupon Expire Hone Wala HaiJALDI KIJIYE Bache Hai Sirf 3 DinValid:15April Cpn Code:04032PSUJM5 TC -CITYKART,040325,nan
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 580724. Call 020-39574200 requested you.,nan,580724
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 620392 2.5CR Entry Fees - Win -,63065557,nan
Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,8981,nan
"Your debit card is dispatched to your address on 28/04/2022 via SPEED POST, AWB No. AX371642227IN. Generate Green PIN via BOB ATM/bob World app/Baroda Connect/IVR -Bank of Baroda",28042022,nan
"Hi Sp davawala,


Thanks for your interest in Spinny. Your 2018 Maruti Suzuki Eeco's FREE DOORSTEP EVALUATION is waiting for you. Please click weurl.co/jk45BH.


With SellRight by Spinny, you get benefits of INSTANT PAYMENT, FREE RC TRANSFER and more!


You can call us on 727 727 7275 if you need any assistance.


SellRight by Spinny",2018,nan
got request linking account UPI 366740. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,366740,nan
"Ecom Express Executive 08046809000 PIN 93313 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 780113",93313,780113
"Ecom Express Executive 08046809000 PIN 27427 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 969953",27427,969953
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 774544. Call 020-39574200 requested you.,nan,774544
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 42858.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2000,nan
One Time verification code 2825.AkHA4lzFwHZ - Future Group,28254,2825
Slot Booking/Cancellation for Application: 236315,236315,nan
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 144009. share anyone.,nan,144009
"Ecom Express Executive 08046809000 PIN 95362 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 652656",95362,652656
"Ecom Express Executive 08046809000 PIN 05013 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 354301",05013,354301
"Ecom Express Executive 08046809000 PIN 41310 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 957072",41310,957072
Ecom Express Executive 08046809000 PIN 356394 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,356394,652656
<#>Paytm never calls for otp. Do not share it with anyone. otp to initiate email update: 600555. Not You? Report https://ap.p-y.tm/qzi9KY ID: asasK/GTt2i,nan,600555
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 638184. Report -,nan,638184
- Never share secret OTP anyone keep account safe. OTP create Paytm Account link Mobycy 291888 -,nan,291888
got request linking account UPI 0882. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,0882,nan
- Never share OTP. Your OTP to link Paytm Account to Vodafone Idea Ltd: 807794. Not You? Report https://ap.p-y.tm/bCp7DQ -,nan,807794
Arriving Today: Imran order partner 914461710281 PIN 1134. Track opt contactless /R4DEA6 .Please share delivery code 7174 delivery partner confirmation status. - Shadowfax,1134,7174
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 861719. share anyone.,nan,861719
got request linking account UPI 753865. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,753865,nan
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 507245. Call 020-39574200 requested you.,nan,507245
900330 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,900330,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,nan,542623
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 864126. share anyone.,nan,864126
"Ecom Express Executive 08046809000 PIN 7919 will deliver your ONLINE order 9168725661. Pay Rs 529.0(CASH,UPI,Payment Link). Code to refuse is 719012",7919,719012
- Never share OTP. OTP link Paytm Account Reliance Jio: 984818. Report -,nan,984818
Slot Booking/Cancellation for Application: 168384,168384,nan
"Ecom Express Executive 08046809000 PIN 95362 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 159297",95362,159297
"Ecom Express Executive 08046809000 PIN 1064 will deliver your simsim order 9172366531. Pay Rs 349.0(CASH,UPI,Payment Link). Code to refuse is 951541",1064,951541
Your otp is: 966153V6Z4WRLv+QX,96615364,nan
"Celebrate this Ugadi with CENTRAL, 02 -15 Apr

Rs.2000 FREE Shopping as Future Pay Cash on Shopping of Rs.5999

Also choose from wide range of gifts too. TnC",5999,nan
"Dear Sir/ Madam, Your one time password for mapping your Bajaj Motorcycle Chassis No. MD2B77AX6MRE08168 with your mobile number is - 6291 , Bajaj Auto",nan,6291
Ecom Express Executive 08046809000 PIN 251795 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,251795,669228
Shadowfax rider 914461710281 PIN 1771 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 3522 Visit https://tracker.shadowfax.in,1771,3522
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 7330 delivery partner confirmation status. - Shadowfax,9165,7330
714676 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,714676,nan
Arriving Today: Imran order partner 914461710281 PIN 8683. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 7720 delivery partner confirmation status. - Shadowfax,8683,7720
"Ecom Express Executive 08046809000 PIN 55435 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 845847",55435,845847
5000 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,5000,nan
"CENTRAL Celebrates Festival of Fashion from 02 -11 Apr

Rs. 2000 FREE Shopping as Future Pay Cash on Shopping of Rs. 5999 . TnC",2000,nan
Dear Customer OTP KBL Bank cardless withdrawal amount 100 564460. Plz dont share anyone fraudster may call get number. -Karnataka Bank,nan,564460
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 533636.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2000,nan
"SALARY 25000/- to 45000/- Per Month SIMPLE TYPING JOB DATA ENTRY,HAND WRITING WORK & MOBILE WORK Male/Female. Details Call Suhani 8882326925",25000,nan
Dear Customer OTP KBL Bank cardless withdrawal amount 100 249080. Plz dont share anyone fraudster may call get number. -Karnataka Bank,nan,249080
"Ecom Express Executive 08046809000 PIN 73617 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 582619",73617,582619
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 281353 delivery partner confirmation status. - Shadowfax,5985,281353
Shadowfax rider 914461710281 PIN 6826 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 1383 Visit https://tracker.shadowfax.in,6826,1383
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 316656 delivery partner confirmation status. - Shadowfax,7932,316656
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 9825 delivery partner confirmation status. - Shadowfax,6292,9825
"Ecom Express Executive 08046809000 PIN 88613 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 473948",88613,473948
Dear Customer OTP One Time Password Debit Card PIN set request 1508. Please disclose anyone - Bank Baroda,nan,1508
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,95362,159297
"Ecom Express Executive 08046809000 PIN 86011 will deliver your ONLINE order 9122741977. Pay Rs 914.0(CASH,UPI,Payment Link). Code to refuse is 674881",86011,674881
YCMOU: Dear Applicant User Name is: D20EJ0514480 OTP mobile verification is: 963777. Kindly complete application.,nan,963777
YCMOU: Dear Applicant User Name is: D20EJ0514480 OTP mobile verification is: 206680. Kindly complete application.,nan,206680
YCMOU: Dear Applicant User Name is: D20EJ0514480 OTP mobile verification is: 359730. Kindly complete application.,nan,359730
One Time verification code 1813.l7qsKFmcHNg - Future Group,18137,1813
OTP adding BANK BARODA account number 981 beneficiary fund transfer 134581. Please share OTP confidential. :PPBL,nan,134581
OTP adding BANK BARODA account number 981 beneficiary fund transfer 198360. Please share OTP confidential. :PPBL,nan,198360
OTP adding BANK BARODA account number 981 beneficiary fund transfer 140280. Please share OTP confidential. :PPBL,nan,140280
OTP adding BANK BARODA account number 981 beneficiary fund transfer 599954. Please share OTP confidential. :PPBL,nan,599954
One Time verification code 503103.l7qsKFmcHNg - Future Group,5031037,503103
Hi proceed request enjoy Airtel Black benefits please share 620628 confirmation code Airtel representative. TC,nan,620628
015 237 Instagram code SIYRxKrru1t,nan,015237
Ecom Express Executive 08046809000 PIN 432566 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,432566,669228
Ecom Express Executive 08046809000 PIN 877962 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,877962,894359
Ecom Express Executive 08046809000 PIN 776523 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,776523,894359
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,95362,652656
Ecom Express Executive 08046809000 PIN 73617 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,73617,582619
Ecom Express Executive 08046809000 PIN 395589 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,395589,582619
Ecom Express Executive 08046809000 PIN 500785 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,500785,159297
Ecom Express Executive 08046809000 PIN 411772 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,411772,652656
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,95734,669228
Ecom Express Executive 08046809000 PIN 149683 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,149683,159297
Slot Booking/Cancellation for Application: 832752,832752,nan
"Ecom Express Executive 08046809000 PIN 08724 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 373487",08724,373487
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 807794. Report -,nan,807794
Arriving Today: Imran order partner 914461710281 PIN 6373. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 1976 delivery partner confirmation status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,95362,894359
"Ecom Express Executive 08046809000 PIN 75728 will deliver your ONLINE order 9120742910. Pay Rs 283.0(CASH,UPI,Payment Link). Code to refuse is 136376",75728,136376
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 770475.,9312,770475
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 113441.,9312,113441
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 156712.,9312,156712
Dear Customer OTP One Time Password Debit Card PIN set request 365929. Please disclose anyone - Bank Baroda,nan,365929
"Ecom Express Executive 08046809000 PIN 64520 will deliver your ONLINE order 9111987521. Pay Rs 408.0(CASH,UPI,Payment Link). Code to refuse is 535922",64520,535922
Dear Customer OTP One Time Password Debit Card PIN set request 384846. Please disclose anyone - Bank Baroda,nan,384846
"Ecom Express Executive 08046809000 PIN 52920 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 819340",52920,819340
"Ecom Express Executive 08046809000 PIN 95734 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 669228",95734,669228
Arriving Today: Your Imran order with partner 914461710281 PIN 6373. Track and opt for contactless delivery:https://tracker.shadowfax.in/#/track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share the delivery code 1976 with the delivery partner for confirmation on status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 37225 will deliver your https://shopee/ AWB 9116374275 today. Rs 105.0 payable. Delivery code 557210,37225,557210
Ecom Express Executive 08046809000 PIN 598085 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,598085,582619
"Ecom Express Executive 08046809000 PIN 63124 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 491471",63124,491471
"Ecom Express Executive 08046809000 PIN 22128 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 282020",22128,282020
Dear Customer OTP KBL Bank cardless withdrawal amount 100 994007. Plz dont share anyone fraudster may call get number. -Karnataka Bank,nan,994007
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 885937. share anyone.,nan,885937
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 541662. share anyone.,nan,541662
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 2326 delivery partner confirmation status. - Shadowfax,7932,2326
One Time verification code 910874.AkHA4lzFwHZ - Future Group,9108744,910874
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 224570 2.5 CR Entry Fees - Win -,63065557,nan
"Dear Sir/ Madam, Your one time password for mapping your Bajaj Motorcycle Chassis No. MD2A76AX7LRG51847 with your mobile number is - 6837 , Bajaj Auto",nan,6837
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,nan,542623
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 893429 2.5 CR Entry Fees - Win -,63529880,nan
share OTP anyone. OTP linking Paytm account MyFab11 515306 Report,nan,515306
OTP adding BANK BARODA account number 981 beneficiary fund transfer 695736. Please share OTP confidential. :PPBL,nan,695736
"Ecom Express Executive 08046809000 PIN 34825 will deliver your ONLINE order 9163957923. Pay Rs 152.0(CASH,UPI,Payment Link). Code to refuse is 106593",34825,106593
"Out for Delivery: Candes Lynx 1200 mm Ul... with tracking ID FMPC1546948423 from flipkart.com, will be delivered today by an EKART Wish Master (call 04440114101, PIN 170). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/p5DjdxuuuN .",1200,nan
Slot Booking/Cancellation for Application: 149461,149461,nan
- Never share otp. Your otp to link Paytm Account to Airtel: 376823. Not You? Report https://ap.p-y.tm/MOwI5N -,nan,376823
"CITYKART Shopping Alert, Apka Rs500 Ka FREE Coupon Expire Hone Wala Hai,JALDI KIJIYE Bache Hai Sirf 3 Din,Valid:15April Cpn Code:04032PSUJM5 T&C* -CITYKART",040325,nan
OTP adding BANK BARODA account number 981 beneficiary fund transfer 266800. Please share OTP confidential. :PPBL,nan,266800
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 170280.,9312,170280
Slot Booking/Cancellation for Application: 703826,703826,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 372208 Entry Fees - Win -,63693822,nan
Secret OTP Online Purchase 729361 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,729361
share OTP anyone. OTP linking Paytm account Coda Payme.. 940966 Report,nan,940966
"CENTRAL Celebrates Festival of colors.

Get Rs.4000/2000 Back as Future Pay cash on shopping of Rs.6999/3999

Extra 10% OFF on RuPay Cards. TnC bit.ly/4Smp8",69993999,nan
- Never share OTP. OTP link Paytm Account Tictok Skill Games: 431200. Report -,nan,431200
Secret OTP Online Purchase 240076 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,240076
Secret OTP Online Purchase 209601 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,209601
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 825646. Call 020-39574200 requested you.,nan,825646
"Hi Sp davawala,
You are just a tap away from selling your 2018 Maruti Suzuki Eeco for the Best Price.

SellRight by Spinny offers quick selling and instant payment.

Book a Free doorstep evaluation today. Click Here weurl.co/kkI4fB Or Call 727 727 7275",2018,nan
OTP adding BANK BARODA account number 981 beneficiary fund transfer 348195. Please share OTP confidential. :PPBL,nan,348195
OTP adding BANK BARODA account number 981 beneficiary fund transfer 342224. Please share OTP confidential. :PPBL,nan,342224
OTP adding BANK BARODA account number 981 beneficiary fund transfer 322390. Please share OTP confidential. :PPBL,nan,322390
OTP adding BANK BARODA account number 981 beneficiary fund transfer 428133. Please share OTP confidential. :PPBL,nan,428133
OTP adding BANK BARODA account number 981 beneficiary fund transfer 604558. Please share OTP confidential. :PPBL,nan,604558
Hi proceed request enjoy Airtel Black benefits please share 532177 confirmation code Airtel representative. TC,nan,532177
Hi proceed request enjoy Airtel Black benefits please share 842403 confirmation code Airtel representative. TC,nan,842403
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 119668. Call 020-39574200 requested you.,nan,119668
"CITYKART Shopping Alert, Apka Rs500 Ka FREE Coupon Expire Hone Wala Hai,JALDI KIJIYE Bache Hai Sirf 3 Din,Valid:15April Cpn Code:04032PSUJM5 T&C* -CITYKART",040325,nan
- Never share otp. Your otp to link Paytm Account to Airtel: 376823. Not You? Report https://ap.p-y.tm/MOwI5N -,nan,376823
Go Easy this Holi at Spar-Easybuy! Celebrate in style with family starting just Rs129. Get Home Centre 4 Pc Set @ 249 on shopping of 2999. bit.ly/37nfFG4 TC,2999,nan
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 720589 Entry Fees - Win -,63693822,nan
"Your a/c XXXXXXXXXXXX8571 is debited Rs. 1300.00 on 2/28/2022 10:12:26 PM to GOPINATH S .
info :P2A/205916770412 -KVB",8571,nan
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 825646. Call 020-39574200 requested you.,nan,825646
Dear 63693822XX 5500 Bonus Superstar Daily finale Junglee Rummy Prize Pool: 205000 Entry Fees - Win -,63693822,nan
SHARE OTP ANYONE. BAJAJ FINSERV EMPLOYEE CALL ASK OTP. login enter 507245. Call 020-39574200 requested you.,nan,507245
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 174). Keep the product ready with all accessories and tags for verification.",33000,nan
"Dear Customer,
Daily Deals
@VISHAL MEGAMART

Mon-Almond1kg-at629
Tue-Shampoo-at40%OFF
Wed-SpinMopMrp1350-at449
Thu-VIPTrolley Mrp6495-at2599
Unsub +918067006167",1350449,nan
"Out for Delivery:ORENICS 33000 mAh Powe... with tracking ID FMPC1815302951, will be delivered between 01:30PM - 05:30PM today by an EKART Service Partner (call 09174003000, PIN 286). Please pay Rs.550.0 by cash..",33000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 142). Keep the product ready with all accessories and tags for verification.",33000,nan
"Out for Pickup: ORENICS 33000 mAh Powe... with tracking ID FMPR0276536979 from flipkart.com, will be picked up  before 9pm today by an EKART Wish Master (call 09174003000, PIN 129). Keep the product ready with all accessories and tags for verification.",33000,nan
OTP online purchase Rs.2155.29 PAYTM thru State Bank Debit Card 849899 849899. share anyone.,nan,849899
OTP online purchase Rs.2196.46 PAYTM thru State Bank Debit Card 642529 642529. share anyone.,nan,642529
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs.4194.48CASHUPIPayment Link. Code refuse 179989,95734,179989
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 242292. Report -,nan,242292
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs.202.93CASHUPIPayment Link. Code refuse 857467,95734,857467
OTP online purchase Rs.509.55 PAYTM thru State Bank Debit Card 173631 173631. share anyone.,nan,173631
OTP online purchase Rs.4584.63 PAYTM thru State Bank Debit Card 785229 785229. share anyone.,nan,785229
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs.2976.19CASHUPIPayment Link. Code refuse 186709,95734,186709
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.1289.27CASHUPIPayment Link. Code refuse 398815,95362,398815
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.695.62CASHUPIPayment Link. Code refuse 642882,95362,642882
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.2052.24CASHUPIPayment Link. Code refuse 652168,95362,652168
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.4495.57CASHUPIPayment Link. Code refuse 927343,95362,927343
OTP online purchase Rs.4692.9 One97 Communications thru State Bank Debit Card 136194 136194. share anyone.,nan,136194
OTP online purchase Rs.1233.18 PAYTM thru State Bank Debit Card 119465 119465. share anyone.,nan,119465
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 884511. Report -,nan,884511
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.1394.33CASHUPIPayment Link. Code refuse 781617,95362,781617
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 205408. Report -,nan,205408
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.1661.69CASHUPIPayment Link. Code refuse 378396,95362,378396
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.2758.92CASHUPIPayment Link. Code refuse 690734,95362,690734
OTP online purchase Rs.4893.41 PAYTM thru State Bank Debit Card 853074 853074. share anyone.,nan,853074
FB-180952 Facebook confirmation code 53158,53158,180952
FB-696456 Facebook confirmation code 53158,53158,696456
OTP adding BANK BARODA account number 981 beneficiary fund transfer 235186. Please share OTP confidential. :PPBL,nan,235186
Security code Slot Booking/Cancellation Application: 832752,nan,832752
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs.3064.42CASHUPIPayment Link. Code refuse 205781,95362,205781
OTP online purchase Rs.406.69 One97 Communications thru State Bank Debit Card 307777 307777. share anyone.,nan,307777
OTP online purchase Rs.1860.61 One97 Communications thru State Bank Debit Card 578813 578813. share anyone.,nan,578813
Security code Slot Booking/Cancellation Application: 149461,nan,149461
"IPL Fiesta is back! Refresh Wardrobe with your Favourite Jersey colors from PETER ENGLAND Spring Collection! Also, Get FREE Rs.2000 shopping on purchase of Rs.6999 at TIRUCHIRAPPALLI Store. Valid till 31Mar.T&C.",2000,nan
OTP adding BANK BARODA account number 981 beneficiary fund transfer 251079. Please share OTP confidential. :PPBL,nan,251079
Your SBI Debit Card ending with 8981 dispatched on 11042022 thru Speed Post No. EB049769289IN. Please follow instructions on welcome letter to generate your PIN,8981,nan
LAST 2 DAYS to get Rs500 OFF@TRENDS on shopping of Rs1250 til 28Nov.Use code TRNDDG24XR3011 at stores open with highest safety standards.Ignore if redeemed. T&C,243011,nan
One Time verification code 910874.AkHA4lzFwHZ - Future Group,9108744,910874
Secret OTP Online Purchase 209601 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,209601
Secret OTP Online Purchase 240076 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,240076
- Never share OTP. OTP link Paytm Account Vodafone Idea Ltd: 940532. Report -,nan,940532
"Out for Delivery: Candes Lynx 1200 mm Ul... with tracking ID FMPC1546948423 from flipkart.com, will be delivered today by an EKART Wish Master (call 04440114101, PIN 170). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/p5DjdxuuuN .",1200,nan
Secret OTP Online Purchase 729361 card ending 4512. Valid till 15 mins. share OTP security reason.,4512,729361
