Message,Extracted,Expected
"Your debit card is dispatched to your address on 28/04/2022 via SPEED POST, AWB No. AX371642227IN. Generate Green PIN via BOB ATM/bob World app/Baroda Connect/IVR -Bank of Baroda",2022,nan
"Hi Sp davawala,


Thanks for your interest in Spinny. Your 2018 Maruti Suzuki Eeco's FREE DOORSTEP EVALUATION is waiting for you. Please click weurl.co/jk45BH.


With SellRight by Spinny, you get benefits of INSTANT PAYMENT, FREE RC TRANSFER and more!


You can call us on 727 727 7275 if you need any assistance.


SellRight by Spinny",2018,nan
got request linking account UPI 366740. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,366740,nan
"Ecom Express Executive 08046809000 PIN 93313 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 780113",93313,780113
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 638300 RS. 809774 A/C NO. XXXX6510 466626. DO NOT SHARE.",638300,466626
"Ecom Express Executive 08046809000 PIN 27427 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 969953",27427,969953
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=836911286&u_id=7733613 Meesho,7733613,nan
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 42858.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
otp for Online Transactions on your Indian Bank Debit Card 4988 is KQS-548142.This is valid for the next 5 min.Dt 21-04-22 11.38,4988,548142
Slot Booking/Cancellation for Application: 236315,236315,nan
OTP for Online Transactions: Indian Bank Debit Card 595852 939376. Valid for next 5 min.,595852,939376
OTP for Online Transactions: Indian Bank Debit Card 113749 919615. Valid for next 5 min.,113749,919615
OTP for Online Transactions: Indian Bank Debit Card 272001 814467. Valid for next 5 min.,272001,814467
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 144009. share anyone.,459113,144009
"Ecom Express Executive 08046809000 PIN 95362 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 652656",95362,652656
"Ecom Express Executive 08046809000 PIN 05013 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 354301",05013,354301
"Ecom Express Executive 08046809000 PIN 41310 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 957072",41310,957072
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 102530 RS. 815504 A/C NO. XXXX2188 233648. DO NOT SHARE.",102530,233648
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 667526 RS. 836726 A/C NO. XXXX6181 884404. DO NOT SHARE.",667526,884404
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 221410 RS. 484057 A/C NO. XXXX5042 262789. DO NOT SHARE.",221410,262789
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 704414 RS. 316202 A/C NO. XXXX9420 964556. DO NOT SHARE.",704414,964556
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 413418 RS. 212974 A/C NO. XXXX6001 568649. DO NOT SHARE.",413418,568649
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 521507 RS. 770597 A/C NO. XXXX5692 199253. DO NOT SHARE.",521507,199253
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 618143 RS. 214616 A/C NO. XXXX3424 694243. DO NOT SHARE.",618143,694243
Ecom Express Executive 08046809000 PIN 356394 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,356394,652656
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 915053 RS. 367716 A/C NO. XXXX8739 289591. DO NOT SHARE.",915053,289591
OTP for Online Transactions: Indian Bank Debit Card 364821 372573. Valid for next 5 min.,364821,372573
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 360026 RS. 994456 A/C NO. XXXX3403 916187. DO NOT SHARE.",360026,916187
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 653393 RS. 513786 A/C NO. XXXX1570 192924. DO NOT SHARE.",653393,192924
OTP for Online Transactions: Indian Bank Debit Card 641826 587571. Valid for next 5 min.,641826,587571
OTP for Online Transactions: Indian Bank Debit Card 892452 308771. Valid for next 5 min.,892452,308771
OTP for Online Transactions: Indian Bank Debit Card 995177 576145. Valid for next 5 min.,995177,576145
got request linking account UPI 0882. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,0882,nan
OTP for Online Transactions: Indian Bank Debit Card 504976 340595. Valid for next 5 min.,504976,340595
OTP for Online Transactions: Indian Bank Debit Card 469611 781088. Valid for next 5 min.,469611,781088
OTP for Online Transactions: Indian Bank Debit Card 870806 656353. Valid for next 5 min.,870806,656353
OTP for Online Transactions: Indian Bank Debit Card 917041 398801. Valid for next 5 min.,917041,398801
Arriving Today: Imran order partner 914461710281 PIN 1134. Track opt contactless /R4DEA6 .Please share delivery code 7174 delivery partner confirmation status. - Shadowfax,1134,7174
OTP for Online Transactions: Indian Bank Debit Card 864364 544487. Valid for next 5 min.,864364,544487
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 861719. share anyone.,459113,861719
OTP Online Transactions Indian Bank Debit Card 4988 KQS-548142.This valid next 5 min.Dt 21-04-22 11.38,4988,548142
"Dear Customer, To Change/Update your mobile number, please send the following otp and Ref No. to 567676 as: ACTIVATE 90424437  M0001783893. -SBI",567676,nan
got request linking account UPI 753865. kindly contact bank helpline no. 1-800-102-4455 immediately. - Bank Baroda,753865,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 742584. Do not share this with anyone.,5446,742584
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 678359:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,1699,nan
900330 rupalu gurnchi nanu andukara nanu tocher chestanavu monday isthanu anthavarku naku phone cheyaku,900330,nan
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,459113,542623
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 864126. share anyone.,459113,864126
"Ecom Express Executive 08046809000 PIN 7919 will deliver your ONLINE order 9168725661. Pay Rs 529.0(CASH,UPI,Payment Link). Code to refuse is 719012",7919,719012
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 333044 RS. 327013 A/C NO. XXXX7180 559048. DO NOT SHARE.",333044,559048
Slot Booking/Cancellation for Application: 168384,168384,nan
OTP for Online Transactions: Indian Bank Debit Card 578363 310378. Valid for next 5 min.,578363,310378
"Ecom Express Executive 08046809000 PIN 95362 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 159297",95362,159297
OTP for Online Transactions: Indian Bank Debit Card 628788 660377. Valid for next 5 min.,628788,660377
Dear Sonabai Sudhakar Shambharkar eligible may avail precaution dose private vaccination center 26-04-2022. Please visit CoWIN,2022,nan
Deposit Cash in your wallet expires soon! Hurry! Use it to play on MPL. Win upto 10000 real cash on Spinwheel everyday this GIGL. Play Now: bit.ly/3L4xZ5m,10000,nan
otp for online purchase of Rs. 61.33 at Inditab Esolutions P thru State Bank Debit Card 5446*****63 is 087056. Do not share this with anyone.,5446,087056
otp for online purchase of Rs. 300.00 at Park thru State Bank Debit Card 5446*****63 is 059082. Do not share this with anyone.,5446,059082
"Ecom Express Executive 08046809000 PIN 1064 will deliver your simsim order 9172366531. Pay Rs 349.0(CASH,UPI,Payment Link). Code to refuse is 951541",1064,951541
OTP for Online Transactions: Indian Bank Debit Card 318708 557164. Valid for next 5 min.,318708,557164
otp for Online Transactions on your Indian Bank Debit Card 4988 is JDS-159337.This is valid for the next 5 min.Dt 07-04-22 12.17,4988,159337
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 435831 RS. 682357 A/C NO. XXXX4239 757909. DO NOT SHARE.",435831,757909
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 616163 RS. 855910 A/C NO. XXXX3478 440338. DO NOT SHARE.",616163,440338
Ecom Express Executive 08046809000 PIN 251795 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,251795,669228
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 531706 RS. 547814 A/C NO. XXXX3150 777367. DO NOT SHARE.",531706,777367
Shadowfax rider 914461710281 PIN 1771 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 3522 Visit https://tracker.shadowfax.in,1771,3522
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 634538 RS. 843698 A/C NO. XXXX5173 156543. DO NOT SHARE.",634538,156543
Arriving Today: Srinu order partner 914067820390 PIN 9165. Track opt contactless //track/23C134956D261D883E619E043E2A0CBA/Fwd/ .Please share delivery code 7330 delivery partner confirmation status. - Shadowfax,9165,7330
714676 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,714676,nan
OTP for Online Transactions: Indian Bank Debit Card 708432 210811. Valid for next 5 min.,708432,210811
OTP for Online Transactions: Indian Bank Debit Card 237148 377804. Valid for next 5 min.,237148,377804
OTP for Online Transactions: Indian Bank Debit Card 508610 531795. Valid for next 5 min.,508610,531795
OTP for Online Transactions: Indian Bank Debit Card 380287 632933. Valid for next 5 min.,380287,632933
OTP for Online Transactions: Indian Bank Debit Card 364326 513958. Valid for next 5 min.,364326,513958
OTP for Online Transactions: Indian Bank Debit Card 760606 843415. Valid for next 5 min.,760606,843415
OTP Online Transactions Indian Bank Debit Card 4988 FQN-288867.This valid next 5 min.Dt 07-04-22 11.57,4988,288867
Arriving Today: Imran order partner 914461710281 PIN 8683. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 7720 delivery partner confirmation status. - Shadowfax,8683,7720
"Ecom Express Executive 08046809000 PIN 55435 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 845847",55435,845847
otp for Online Transactions on your Indian Bank Debit Card 4988 is JXS-177988.This is valid for the next 5 min.Dt 07-04-22 12.32,4988,177988
5000 ಬನಸ ಪಡಯರ ಈಗ A23 ರಮಮ ಡನಲಡ ಮಡ /s/jsL0hIiVOK,5000,nan
"Dear Customer, otp to approve transaction of Rs. 1034 from your A/c No. ending 2483 to Zomato Ltd is 42750277. Do not share with anyone. -SBI",2483,42750277
INR 2000 debited A/c 2533 ATM ATMD/SPCN5201/CHANDIGARH/23:11 Bal 533636.1707-04-2022 23:11:57. transaction unauthorized SMS BLOCK A/c BLOCK 8828837411 click /module/complaint-lodge-grievence lodge complaint. Punjab Sind Bank,2533,nan
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 414507:1.5GB/DUL84D5GB28D,1699,nan
OTP for Online Transactions: Indian Bank Debit Card 444393 734670. Valid for next 5 min.,444393,734670
"SALARY 25000/- to 45000/- Per Month SIMPLE TYPING JOB DATA ENTRY,HAND WRITING WORK & MOBILE WORK Male/Female. Details Call Suhani 8882326925",25000,nan
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 533040 RS. 250756 A/C NO. XXXX6884 609461. DO NOT SHARE.",533040,609461
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 724892 RS. 147190 A/C NO. XXXX8320 903081. DO NOT SHARE.",724892,903081
OTP for Online Transactions: Indian Bank Debit Card 735694 938524. Valid for next 5 min.,735694,938524
"Ecom Express Executive 08046809000 PIN 73617 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 582619",73617,582619
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 579267 RS. 309208 A/C NO. XXXX2125 863775. DO NOT SHARE.",579267,863775
Arriving Today: Srinu order partner 914071153148 PIN 5985. Track opt contactless /zwyJan .Please share delivery code 281353 delivery partner confirmation status. - Shadowfax,5985,281353
Shadowfax rider 914461710281 PIN 6826 will deliver your Anarkali order AWB SF206583905443FPL today. Attempt code 1383 Visit https://tracker.shadowfax.in,6826,1383
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 961668 RS. 973821 A/C NO. XXXX4151 279079. DO NOT SHARE.",961668,279079
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 316656 delivery partner confirmation status. - Shadowfax,7932,316656
Arriving Today: Srinu order partner 914067820390 PIN 6292. Track opt contactless //track/D813EABEA027896BCA6A8258E27B5D15/Fwd/ .Please share delivery code 9825 delivery partner confirmation status. - Shadowfax,6292,9825
"Ecom Express Executive 08046809000 PIN 88613 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 473948",88613,473948
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,95362,159297
"Ecom Express Executive 08046809000 PIN 86011 will deliver your ONLINE order 9122741977. Pay Rs 914.0(CASH,UPI,Payment Link). Code to refuse is 674881",86011,674881
"Dear Customer, OTP INITIATE E-MANDATE SBI REQUEST ID 341587 RS. 847908 A/C NO. XXXX7466 195351. DO NOT SHARE.",341587,195351
otp for Online Txn INR 352.82 at PAYTM on Indian Bank Debit card ending 4988 is 629806. Valid for 3min. Dt 07-04-2022 11:47:06. Do Not Disclose.,4988,629806
015 237 Instagram code SIYRxKrru1t,nan,015237
Ecom Express Executive 08046809000 PIN 432566 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,432566,669228
Ecom Express Executive 08046809000 PIN 877962 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,877962,894359
Ecom Express Executive 08046809000 PIN 776523 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,776523,894359
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,95362,652656
Ecom Express Executive 08046809000 PIN 73617 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,73617,582619
Ecom Express Executive 08046809000 PIN 395589 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,395589,582619
Ecom Express Executive 08046809000 PIN 500785 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,500785,159297
Ecom Express Executive 08046809000 PIN 411772 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 652656,411772,652656
Ecom Express Executive 08046809000 PIN 95734 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 669228,95734,669228
Ecom Express Executive 08046809000 PIN 149683 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 159297,149683,159297
Slot Booking/Cancellation for Application: 832752,832752,nan
"Ecom Express Executive 08046809000 PIN 08724 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 373487",08724,373487
OTP Online Txn INR 395.30 PAYTM Indian Bank Debit card ending 4988 335464. Valid 3min. Dt 07-04-2022 12:00:41. Disclose.,4988,335464
Enjoy unlimited high-speed data 12 6 every day /ViNFR 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D,1699,nan
otp for online purchase thru State Bank Debit Card 6074*****31 is 792901. Do not share this with anyone,6074,792901
"BAZAR INDIA EXTRA FREE SHOPPING FESTIVAL

FREE 250/600/1000 SHOPPING ON 1000/2000/3000.

ALSO GET FREE SHOPPING VOUCHERS WORTH 2000. TCA

9949098465",1000,nan
Arriving Today: Imran order partner 914461710281 PIN 6373. Track opt contactless //track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share delivery code 1976 delivery partner confirmation status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 95362 deliver Flipkart order 8694021098. Pay Rs 129.0CASHUPIPayment Link. Code refuse 894359,95362,894359
otp for online purchase of Rs. 150.00 at TNPSCOTHDRCARD thru State Bank Debit Card 5242*****19 is 724502. Do not share this with anyone.,5242,724502
"Ecom Express Executive 08046809000 PIN 75728 will deliver your ONLINE order 9120742910. Pay Rs 283.0(CASH,UPI,Payment Link). Code to refuse is 136376",75728,136376
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 770475.,9312,770475
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 113441.,9312,113441
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 156712.,9312,156712
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 674752. Do not share this with anyone.,4591,674752
"Ecom Express Executive 08046809000 PIN 64520 will deliver your ONLINE order 9111987521. Pay Rs 408.0(CASH,UPI,Payment Link). Code to refuse is 535922",64520,535922
"Ecom Express Executive 08046809000 PIN 52920 will deliver your Flipkart order 9107791704. Pay Rs 1649.0(CASH,UPI,Payment Link). Code to refuse is 819340",52920,819340
"Ecom Express Executive 08046809000 PIN 95734 will deliver your Flipkart order 8694021098. Pay Rs 129.0(CASH,UPI,Payment Link). Code to refuse is 669228",95734,669228
OTP Online Txn INR 395.30 PAYTM Indian Bank Debit card ending 4988 148426. Valid 3min. Dt 07-04-2022 12:00:41. Disclose.,4988,148426
Arriving Today: Your Imran order with partner 914461710281 PIN 6373. Track and opt for contactless delivery:https://tracker.shadowfax.in/#/track/25AEBB10A6112196BB637BB3271CEB43/Fwd/ .Please share the delivery code 1976 with the delivery partner for confirmation on status. - Shadowfax,6373,1976
Ecom Express Executive 08046809000 PIN 37225 will deliver your https://shopee/ AWB 9116374275 today. Rs 105.0 payable. Delivery code 557210,37225,557210
Ecom Express Executive 08046809000 PIN 598085 deliver Flipkart order 9008602733. Pay Rs 1033.0CASHUPIPayment Link. Code refuse 582619,598085,582619
OTP for Online Transactions: Indian Bank Debit Card 343327 912475. Valid for next 5 min.,343327,912475
"Ecom Express Executive 08046809000 PIN 63124 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 491471",63124,491471
"Ecom Express Executive 08046809000 PIN 22128 will deliver your Flipkart order 9008602733. Pay Rs 1033.0(CASH,UPI,Payment Link). Code to refuse is 282020",22128,282020
OTP online purchase Rs. 1000.00 One97 Communications thru State Bank Debit Card 459113 885937. share anyone.,459113,885937
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 541662. share anyone.,459113,541662
OTP Online Txn INR 395.30 PAYTM Indian Bank Debit card ending 4988 494133. Valid 3min. Dt 07-04-2022 12:00:41. Disclose.,4988,494133
Arriving Today: Srinu order partner 914071153148 PIN 7932. Track opt contactless /zwyJan .Please share delivery code 2326 delivery partner confirmation status. - Shadowfax,7932,2326
Dear Sudhakar Lahu Shambharkar eligible may avail precaution dose 26-04-2022. Please visit - CoWIN,2022,nan
Hi 63065557XX RPL 11 Finale Junglee Rummy Prize Pool: 224570 2.5 CR Entry Fees - Win -,224570,nan
OTP Online Transactions Indian Bank Debit Card 4988 JXS-177988.This valid next 5 min.Dt 07-04-22 12.32,4988,177988
OTP online purchase Rs. 1000.00 PAYTM thru State Bank Debit Card 459113 542623. share anyone.,459113,542623
Hi 63529880XX RPL 11 Finale Junglee Rummy Prize Pool: 893429 2.5 CR Entry Fees - Win -,893429,nan
"Your Registration is done in RRB,Mumbai for CEN 01/2019(NTPC).Activate your application with this otp 1701 and the otp sent to your Email ID.",2019,1701
otp for Online Transactions on your Indian Bank Debit Card 4988 is FQN-288867.This is valid for the next 5 min.Dt 07-04-22 11.57,4988,288867
OTP for Online Txn INR 352.82 at PAYTM on Indian Bank Debit card ending 4988 is 629806. Valid for 3min. Dt 07-04-2022 11:47:06. Do Not Disclose.,4988,629806
Thank you for shopping on Meesho! We'd love to hear your feedback on the item purchased. Click here sprw.io/sntt-2e1caf?o_id=630127992&u_id=7733613 Meesho,7733613,nan
"Ecom Express Executive 08046809000 PIN 34825 will deliver your ONLINE order 9163957923. Pay Rs 152.0(CASH,UPI,Payment Link). Code to refuse is 106593",34825,106593
otp for online purchase of Rs. 1000.00 at PAYTM thru State Bank Debit Card 4591*****13 is 541662. Do not share this with anyone.,4591,541662
"Out for Delivery: Candes Lynx 1200 mm Ul... with tracking ID FMPC1546948423 from flipkart.com, will be delivered today by an EKART Wish Master (call 04440114101, PIN 170). Please check with the Wishmaster if you can pay using SMS payment link. To know about safety measures taken to ensure a safe delivery of your order, click here: http://ekrt.in/p5DjdxuuuN .",1200,nan
Slot Booking/Cancellation for Application: 149461,149461,nan
otp for online purchase of Rs. 149.79 at inditabPayU thru State Bank Debit Card 5446*****63 is 158917. Do not share this with anyone.,5446,158917
Beneficiary (Bene Name: GOPINATH S) added by you on 28-FEB-2022 at 10:07 PM to your KVB - DLite account is activated and you shall initiate transactions now,2022,nan
otp for online purchase of Rs. 100.00 at Park thru State Bank Debit Card 5446*****63 is 152310. Do not share this with anyone.,5446,152310
otp for online purchase of Rs. 2.00 at AMAZON thru State Bank Debit Card 5446*****63 is 324078. Do not share this with anyone.,5446,324078
otp for online purchase of Rs. 14000.00 at GURU KASHI UNIVERSIT thru State Bank Debit Card 5446*****63 is 372595. Do not share this with anyone.,5446,372595
otp for online purchase of Rs. 25.13 at inditabPayU thru State Bank Debit Card 5446*****63 is 988820. Do not share this with anyone.,5446,988820
Vi AlertYour Unlimited Pack EXPIRING TODAY Recharge /ViRC20 1699:4GB/DUL84D 2599:1.5GB/DUL84D5GB28D 3801:UL3GB/Day48GB84D,1699,nan
otp for online purchase of Rs. 1025.00 at VODAFONEIDEA thru State Bank Debit Card 5446*****63 is 314915. Do not share this with anyone.,5446,314915
"Dear Customer, otp to approve transaction of Rs. 998.4 from your A/c No. ending 6618 to Agoda Company PTE LTD is 47336860. Do not share with anyone. -SBI",6618,47336860
"Dear Customer, otp to approve transaction of Rs. 948 from your A/c No. ending 6618 to Agoda Company PTE LTD is 37407957. Do not share with anyone. -SBI",6618,37407957
OTP for Online Transactions: Indian Bank Debit Card 180354 249610. Valid for next 5 min.,180354,249610
CDSL-TPIN to avail CDSLs e-DIS facility for BO ID ****9312  is - 170280.,9312,170280
Slot Booking/Cancellation for Application: 703826,703826,nan
